Date,PlotID,Depth_relative,Temperature,Volumetric_water_content
5/11/2018,211,Shallow,26.24458,0.0450714
5/11/2018,511,Shallow,25.92972,0.05379022
5/11/2018,531,Deep,25.60599,0.04268585
5/11/2018,131,Deep,25.17982,0.04121431
5/11/2018,231,Deep,25.15792,0.037984
5/11/2018,332,Deep,25.07223,0.04554482
5/11/2018,631,Deep,24.83143,0.04462248
5/11/2018,331,Deep,24.78212,0.06511447
5/11/2018,431,Deep,24.74241,0.04865806
5/11/2018,632,Deep,24.69144,0.05629659
5/11/2018,132,Deep,24.52416,0.1030695
5/11/2018,232,Deep,24.455,0.03831988
5/11/2018,121,Deep,24.40982,0.04106405
5/11/2018,532,Deep,24.36768,0.04849695
5/11/2018,432,Deep,24.18895,0.03472313
5/11/2018,421,Shallow,24.08569,0.04414662
5/11/2018,521,Deep,24.06593,0.0512423
5/11/2018,211,Deep,23.99542,0.03928341
5/11/2018,221,Deep,23.965,0.03977845
5/11/2018,422,Deep,23.79189,0.03352047
5/11/2018,621,Deep,23.76249,0.04378109
5/11/2018,522,Deep,23.74477,0.04390315
5/11/2018,322,Deep,23.74135,0.04166587
5/11/2018,311,Deep,23.52191,0.03468544
5/11/2018,222,Deep,23.43083,0.0438989
5/11/2018,321,Deep,23.41644,0.06701603
5/11/2018,612,Deep,23.36576,0.02836822
5/11/2018,212,Deep,23.30875,0.04996111
5/11/2018,412,Deep,23.30663,0.03345431
5/11/2018,122,Deep,23.26844,0.06290782
5/11/2018,112,Deep,23.20689,0.05439082
5/11/2018,611,Deep,23.17143,0.05920873
5/11/2018,511,Deep,23.13349,0.0541504
5/11/2018,111,Deep,22.9707,0.04773201
5/11/2018,622,Deep,22.95938,0.0480086
5/11/2018,411,Deep,22.84916,0.0600881
5/11/2018,312,Deep,22.7214,0.04855641
5/11/2018,512,Deep,22.56156,0.02693991
5/10/2018,332,Shallow,31.07672,0.04669195
5/10/2018,532,Shallow,30.91206,0.03212517
5/10/2018,431,Shallow,30.56374,0.01824802
